alpha,ETRmax,Ek,fvfm,id
0.572926448,29.01486908,50.64327054,0.538,SD60
0.540210997,26.88506029,49.76770273,0.515,SD60
0.515181212,28.3700791,55.06815548,0.514,SD60
0.508592271,20.51338073,40.33364622,0.468,SD60
0.529761357,25.89625804,48.88287472,0.487,SD60
0.522290241,20.9972508,40.20226522,0.5,SD60
0.60877267,26.90456306,44.19476169,0.532,SD60
0.544088594,18.40190368,33.82152073,0.533,SD60
0.578084432,17.40430003,30.10684784,0.513,SD60
0.587809232,22.63652205,38.5099805,0.52,SD60
0.55376191,18.87139638,34.07853813,0.533,SD60
0.491654508,19.45735235,39.57525465,0.503,SD60
0.493756228,14.71576821,29.80371159,0.506,SD60
0.507186102,19.76643987,38.97275539,0.505,SD60
0.529214728,24.46251629,46.22417893,0.523,SD60
0.589399957,17.68279083,30.00134393,0.458,SS60
0.365710673,13.76128559,37.62888704,0.386,SS60
0.177372054,31.53794876,33.8,0.361,SS60
0.442619835,14.40014736,32.53389532,0.433,SS60
0.418899641,17.25221356,41.1845986,0.439,SS60
0.293136137,8.456892322,28.84970923,0.371,SS60
0.371042772,16.10182789,43.39615029,0.445,SS60
0.522202344,13.44068,25.73845205,0.469,SS60
0.281754036,8.675623565,30.79147931,0.41,SS60
0.286494475,7.08211667,24.71990662,0.464,SS60
