PAR,rETR,Colony,Treatment,Age
20,5.92,27,SD,8
35,9.905,27,SD,8
55,12.54,27,SD,8
80,13.92,27,SD,8
110,12.98,27,SD,8
145,12.035,27,SD,8
185,13.875,27,SD,8
230,0,27,SD,8
280,0,27,SD,8
335,0,27,SD,8
0,0,28,SD,8
1,0.495,28,SD,8
10,4.04,28,SD,8
20,7.9,28,SD,8
35,13.02,28,SD,8
55,15.675,28,SD,8
80,17.52,28,SD,8
110,15.4,28,SD,8
145,12.615,28,SD,8
185,16.095,28,SD,8
230,13.8,28,SD,8
280,0,28,SD,8
335,0,28,SD,8
0,0,29,SD,8
1,0,29,SD,8
10,0.511,29,SD,8
20,4.47,29,SD,8
35,8.5,29,SD,8
55,13.23,29,SD,8
80,16.28,29,SD,8
110,15.84,29,SD,8
145,13.53,29,SD,8
185,13.775,29,SD,8
230,12.58,29,SD,8
280,0,29,SD,8
335,0,29,SD,8
0,0,30,SD,8
1,0.484,30,SD,8
10,3.81,30,SD,8
20,7.52,30,SD,8
35,12.635,30,SD,8
55,16.005,30,SD,8
80,17.84,30,SD,8
110,16.28,30,SD,8
145,14.935,30,SD,8
185,14.06,30,SD,8
230,12.65,30,SD,8
280,0,30,SD,8
335,0,30,SD,8
0,0,31,SD,8
1,0.525,31,SD,8
10,4.34,31,SD,8
20,8.26,31,SD,8
35,13.37,31,SD,8
55,15.675,31,SD,8
80,16.16,31,SD,8
110,14.19,31,SD,8
145,12.615,31,SD,8
185,14.8,31,SD,8
230,13.57,31,SD,8
280,0,31,SD,8
335,0,31,SD,8
0,0,32,SD,8
1,0.445,32,SD,8
10,3.46,32,SD,8
20,6.24,32,SD,8
35,10.29,32,SD,8
55,12.98,32,SD,8
80,15.84,32,SD,8
110,14.85,32,SD,8
145,13.34,32,SD,8
185,12.025,32,SD,8
230,0,32,SD,8
280,0,32,SD,8
335,0,32,SD,8
0,0,33,SD,60
1,0.499,33,SD,60
20,7.48,33,SD,60
55,17.05,33,SD,60
110,19.91,33,SD,60
185,18.315,33,SD,60
280,10.92,33,SD,60
335,0,33,SD,60
395,0,33,SD,60
460,0,33,SD,60
0,0,34,SD,60
1,0.498,34,SD,60
20,7.48,34,SD,60
55,17.105,34,SD,60
110,22.22,34,SD,60
185,17.39,34,SD,60
280,13.44,34,SD,60
335,10.72,34,SD,60
395,0,34,SD,60
460,0,34,SD,60
0,0,35,SD,60
1,0.512,35,SD,60
20,7.64,35,SD,60
55,17.82,35,SD,60
110,23.54,35,SD,60
185,22.94,35,SD,60
280,17.36,35,SD,60
335,0,35,SD,60
395,0,35,SD,60
460,0,35,SD,60
0,0,36,SD,60
1,0.485,36,SD,60
20,6.6,36,SD,60
55,17.38,36,SD,60
110,21.89,36,SD,60
185,18.5,36,SD,60
280,23.8,36,SD,60
335,0,36,SD,60
395,0,36,SD,60
460,0,36,SD,60
0,0,37,SD,60
1,0.448,37,SD,60
20,6.16,37,SD,60
55,14.85,37,SD,60
110,19.36,37,SD,60
185,18.685,37,SD,60
280,19.88,37,SD,60
335,0,37,SD,60
395,0,37,SD,60
460,0,37,SD,60
0,0,38,SD,60
1,0.52,38,SD,60
20,7.98,38,SD,60
55,19.47,38,SD,60
110,26.62,38,SD,60
185,22.015,38,SD,60
280,15.96,38,SD,60
335,12.73,38,SD,60
395,0,38,SD,60
460,0,38,SD,60
0,0,39,SD,60
1,0.502,39,SD,60
20,7.1,39,SD,60
55,17.05,39,SD,60
110,22.88,39,SD,60
185,17.76,39,SD,60
280,12.32,39,SD,60
335,11.725,39,SD,60
395,0,39,SD,60
460,0,39,SD,60
0,0,40,SD,60
1,0.553,40,SD,60
20,8.64,40,SD,60
55,21.065,40,SD,60
110,29.15,40,SD,60
185,27.38,40,SD,60
280,21.28,40,SD,60
335,16.415,40,SD,60
395,0,40,SD,60
460,0,40,SD,60
0,0,41,SD,60
1,0.529,41,SD,60
20,7.68,41,SD,60
55,19.91,41,SD,60
