,Depth,Date,Time,Temp,Light
373,Deep,23/03/2022,01:00,21.38,0
374,Deep,23/03/2022,01:05,21.38,0
375,Deep,23/03/2022,01:10,21.38,0
376,Deep,23/03/2022,01:15,21.38,0
377,Deep,23/03/2022,01:20,21.38,0
378,Deep,23/03/2022,01:25,21.38,0
379,Deep,23/03/2022,01:30,21.38,0
380,Deep,23/03/2022,01:35,21.38,0
381,Deep,23/03/2022,01:40,21.38,0
382,Deep,23/03/2022,01:45,21.38,0
383,Deep,23/03/2022,01:50,21.38,0
384,Deep,23/03/2022,01:55,21.38,0
385,Deep,23/03/2022,02:00,21.38,0
386,Deep,23/03/2022,02:05,21.38,0
387,Deep,23/03/2022,02:10,21.38,0
388,Deep,23/03/2022,02:15,21.38,0
389,Deep,23/03/2022,02:20,21.38,0
390,Deep,23/03/2022,02:25,21.38,0
391,Deep,23/03/2022,02:30,21.38,0
392,Deep,23/03/2022,02:35,21.38,0
393,Deep,23/03/2022,02:40,21.38,0
394,Deep,23/03/2022,02:45,21.38,0
395,Deep,23/03/2022,02:50,21.38,0
396,Deep,23/03/2022,02:55,21.38,0
397,Deep,23/03/2022,03:00,21.38,0
398,Deep,23/03/2022,03:05,21.38,0
399,Deep,23/03/2022,03:10,21.38,0
400,Deep,23/03/2022,03:15,21.38,0
401,Deep,23/03/2022,03:20,21.38,0
402,Deep,23/03/2022,03:25,21.38,0
403,Deep,23/03/2022,03:30,21.38,0
404,Deep,23/03/2022,03:35,21.38,0
405,Deep,23/03/2022,03:40,21.38,0
406,Deep,23/03/2022,03:45,21.38,0
407,Deep,23/03/2022,03:50,21.38,0
408,Deep,23/03/2022,03:55,21.38,0
409,Deep,23/03/2022,04:00,21.38,0
410,Deep,23/03/2022,04:05,21.38,0
411,Deep,23/03/2022,04:10,21.38,0
412,Deep,23/03/2022,04:15,21.38,0
413,Deep,23/03/2022,04:20,21.38,0
414,Deep,23/03/2022,04:25,21.38,0
415,Deep,23/03/2022,04:30,21.38,0
416,Deep,23/03/2022,04:35,21.38,0
417,Deep,23/03/2022,04:40,21.38,0
418,Deep,23/03/2022,04:45,21.38,0
419,Deep,23/03/2022,04:50,21.38,0
420,Deep,23/03/2022,04:55,21.38,0
421,Deep,23/03/2022,05:00,21.38,0
422,Deep,23/03/2022,05:05,21.38,0
423,Deep,23/03/2022,05:10,21.38,0
424,Deep,23/03/2022,05:15,21.38,0
425,Deep,23/03/2022,05:20,21.38,0
426,Deep,23/03/2022,05:25,21.38,0
427,Deep,23/03/2022,05:30,21.38,0
428,Deep,23/03/2022,05:35,21.38,0
429,Deep,23/03/2022,05:40,21.38,0
430,Deep,23/03/2022,05:45,21.38,0
431,Deep,23/03/2022,05:50,21.38,10.8
432,Deep,23/03/2022,05:55,21.38,21.5
433,Deep,23/03/2022,06:00,21.38,43.1
434,Deep,23/03/2022,06:05,21.38,53.8
435,Deep,23/03/2022,06:10,21.38,80.7
436,Deep,23/03/2022,06:15,21.38,96.9
437,Deep,23/03/2022,06:20,21.38,118.4
438,Deep,23/03/2022,06:25,21.38,150.7
439,Deep,23/03/2022,06:30,21.38,156.1
440,Deep,23/03/2022,06:35,21.38,156.1
441,Deep,23/03/2022,06:40,21.38,145.3
442,Deep,23/03/2022,06:45,21.38,166.9
443,Deep,23/03/2022,06:50,21.38,193.8
444,Deep,23/03/2022,06:55,21.38,231.4
445,Deep,23/03/2022,07:00,21.38,274.5
446,Deep,23/03/2022,07:05,21.38,296
447,Deep,23/03/2022,07:10,21.38,339.1
448,Deep,23/03/2022,07:15,21.38,349.8
449,Deep,23/03/2022,07:20,21.38,344.5
450,Deep,23/03/2022,07:25,21.38,382.1
451,Deep,23/03/2022,07:30,21.38,344.5
452,Deep,23/03/2022,07:35,21.38,414.4
453,Deep,23/03/2022,07:40,21.38,419.8
454,Deep,23/03/2022,07:45,21.38,511.3
455,Deep,23/03/2022,07:50,21.43,559.8
456,Deep,23/03/2022,07:55,21.43,570.5
457,Deep,23/03/2022,08:00,21.43,618.9
458,Deep,23/03/2022,08:05,21.38,608.2
459,Deep,23/03/2022,08:10,21.43,651.3
460,Deep,23/03/2022,08:15,21.38,688.9
461,Deep,23/03/2022,08:20,21.43,877.3
462,Deep,23/03/2022,08:25,21.43,645.9
463,Deep,23/03/2022,08:30,21.43,538.2
464,Deep,23/03/2022,08:35,21.43,549
465,Deep,23/03/2022,08:40,21.43,597.4
466,Deep,23/03/2022,08:45,21.43,818.1
467,Deep,23/03/2022,08:50,21.43,839.6
468,Deep,23/03/2022,08:55,21.43,710.5
469,Deep,23/03/2022,09:00,21.43,995.7
470,Deep,23/03/2022,09:05,21.43,909.6
471,Deep,23/03/2022,09:10,21.43,839.6
472,Deep,23/03/2022,09:15,21.43,753.5
473,Deep,23/03/2022,09:20,21.43,818.1
474,Deep,23/03/2022,09:25,21.43,893.4
475,Deep,23/03/2022,09:30,21.43,1011.8
476,Deep,23/03/2022,09:35,21.43,941.9
477,Deep,23/03/2022,09:40,21.47,1765.3
478,Deep,23/03/2022,09:45,21.47,1377.8
479,Deep,23/03/2022,09:50,21.47,1340.1
480,Deep,23/03/2022,09:55,21.43,898.8
481,Deep,23/03/2022,10:00,21.47,1420.9
482,Deep,23/03/2022,10:05,21.43,1124.9
483,Deep,23/03/2022,10:10,21.47,1463.9
484,Deep,23/03/2022,10:15,21.43,1243.3
485,Deep,23/03/2022,10:20,21.47,1463.9
